"participant_id","srs_1","srs_2","srs_3","srs_4","srs_5","srs_6","srs_7","srs_8","srs_9","srs_10","srs_11","bfas_1","bfas_2","bfas_3","bfas_4","bfas_5","bfas_6","bfas_7","bfas_8","bfas_9","bfas_10","bfas_11","bfas_12","bfas_13","bfas_14","bfas_15","bfas_16","bfas_17","bfas_18","bfas_19","bfas_20","bfas_21","bfas_22","bfas_23","bfas_24","bfas_25","bfas_26","bfas_27","bfas_28","bfas_29","bfas_30","bfas_31","bfas_32","bfas_33","bfas_34","bfas_35","bfas_36","bfas_37","bfas_38","bfas_39","bfas_40","bfas_41","bfas_42","bfas_43","bfas_44","bfas_45","bfas_46","bfas_47","bfas_48","bfas_49","bfas_50","bfas_51","bfas_52","bfas_53","bfas_54","bfas_55","bfas_56","bfas_57","bfas_58","bfas_59","bfas_60","bfas_61","bfas_62","bfas_63","bfas_64","bfas_65","bfas_66","bfas_67","bfas_68","bfas_69","bfas_70","bfas_71","bfas_72","bfas_73","bfas_74","bfas_75","bfas_76","bfas_77","bfas_78","bfas_79","bfas_80","bfas_81","bfas_82","bfas_83","bfas_84","bfas_85","bfas_86","bfas_87","bfas_88","bfas_89","bfas_90","bfas_91","bfas_92","bfas_93","bfas_94","bfas_95","bfas_96","bfas_97","bfas_98","bfas_99","bfas_100"
1015,1,2,1,2,2,2,1,2,2,2,1,3,3,3,2,4,3,4,4,2,5,5,4,3,4,3,2,1,4,4,5,2,3,4,4,4,2,5,5,5,1,4,3,3,2,5,2,1,4,2,5,1,4,5,2,4,5,4,2,4,3,5,2,4,3,2,2,4,5,1,4,5,4,4,4,2,4,1,4,2,5,5,3,2,4,2,4,1,2,5,1,5,3,2,2,4,2,1,3,1,1,5,4,5,1,3,4,4,3,5,2
1196,2,2,1,2,2,2,2,1,1,1,2,3,2,4,5,3,3,5,3,4,5,3,4,3,2,3,3,1,4,3,4,4,3,2,2,4,3,3,3,2,4,3,2,3,1,3,3,2,4,4,5,3,4,4,4,2,4,3,4,3,3,4,3,2,3,3,3,4,4,4,3,3,2,3,2,3,5,2,4,4,4,3,4,2,5,4,3,2,3,3,4,1,2,3,4,3,3,3,5,4,4,3,4,3,5,4,3,2,4,3,4
1169,2,2,2,2,2,1,1,1,2,1,2,2,2,4,2,1,4,4,2,2,4,4,3,5,5,3,5,2,4,4,4,2,5,3,1,3,3,3,3,3,5,3,2,4,4,3,2,3,3,3,2,4,5,1,2,2,3,3,4,3,3,3,2,5,3,3,3,2,5,5,5,4,4,4,3,4,4,3,3,3,3,3,2,4,3,3,3,5,2,3,2,1,4,2,2,2,4,2,4,3,4,3,5,3,3,3,3,1,3,3,4
1155,1,2,1,2,1,2,1,2,1,2,2,2,1,4,1,1,1,5,3,4,1,5,5,5,5,3,3,2,4,3,1,1,5,5,4,4,4,5,5,5,5,1,2,4,2,3,4,4,4,5,3,3,5,5,2,2,5,4,3,2,5,5,1,4,2,5,3,5,4,4,5,5,1,1,3,1,4,4,4,5,3,1,4,1,3,1,5,4,2,5,2,4,1,4,2,4,4,5,3,4,1,1,4,4,3,2,5,4,4,1,4
1147,1,2,1,2,2,2,2,1,1,2,2,2,2,3,2,2,3,4,4,3,5,5,3,4,4,5,2,1,4,3,5,3,4,4,2,4,2,5,2,3,4,3,2,4,4,4,4,1,3,3,4,2,4,3,3,3,3,4,4,3,3,5,2,2,2,1,4,3,3,4,3,3,2,2,2,3,3,1,4,4,5,2,5,2,4,4,3,1,2,4,4,3,2,5,5,4,4,3,2,3,1,4,4,3,4,3,3,3,4,3,3
1038,1,2,1,2,2,2,1,2,1,2,2,3,2,4,3,4,2,4,2,4,3,4,4,2,3,3,4,3,4,3,5,4,4,3,4,4,2,4,4,3,4,2,2,4,4,5,3,3,4,2,5,2,4,3,3,2,3,3,2,3,3,5,2,2,3,2,3,3,4,3,2,4,2,3,2,4,4,2,2,3,4,1,4,4,3,4,4,1,2,3,2,4,2,3,4,2,3,2,4,3,1,5,4,3,3,4,3,4,4,3,4
1182,2,2,2,1,1,2,2,1,2,1,1,2,2,4,2,5,1,1,4,5,5,4,5,3,1,1,5,3,4,5,5,5,5,3,5,3,1,5,4,3,5,1,2,2,5,5,5,1,4,4,5,2,4,2,3,1,3,5,3,3,1,5,1,3,1,4,1,5,4,4,1,1,1,1,1,3,3,1,2,3,5,5,4,4,5,4,5,1,4,4,2,5,1,5,5,3,1,2,2,4,2,4,4,5,5,1,1,3,5,3,5
1126,2,2,1,1,1,2,1,2,2,1,2,5,4,4,4,5,4,4,2,4,5,2,3,3,5,2,1,3,5,2,4,5,4,4,4,5,1,2,5,2,3,1,3,1,4,5,5,1,5,3,1,5,3,5,2,1,1,2,2,1,4,1,4,2,4,2,5,5,4,4,5,2,2,4,4,5,1,2,2,4,1,5,3,2,3,5,1,1,1,2,3,1,1,3,3,1,5,2,4,4,5,1,4,4,4,4,3,5,3,2,4
1184,1,1,2,2,2,2,2,2,2,1,1,4,3,4,4,3,2,4,2,4,4,3,4,4,4,3,2,2,4,4,4,5,4,3,4,3,2,4,4,2,4,1,2,2,4,4,4,2,4,4,5,4,4,4,2,2,2,4,2,2,5,4,1,2,2,2,4,4,3,4,2,1,2,4,2,4,2,2,4,4,4,4,4,2,4,4,1,1,1,2,2,2,3,2,4,3,1,1,4,4,2,2,4,3,5,4,2,4,4,3,4
1096,2,2,1,1,2,2,1,1,2,2,1,1,1,4,4,4,2,3,2,4,3,5,5,5,1,2,4,1,4,4,5,4,4,5,2,4,2,5,4,2,3,2,1,4,2,3,3,1,1,3,4,1,5,4,4,3,3,5,1,2,1,5,2,4,2,2,4,5,2,4,2,4,4,2,2,3,2,1,2,3,5,3,5,2,4,4,1,1,2,4,1,5,1,3,4,4,2,1,3,4,1,4,4,5,5,4,1,2,3,4,4
1071,1,2,1,2,2,1,2,2,2,1,1,1,3,4,5,3,1,5,1,3,5,5,5,5,3,1,2,1,4,5,5,2,5,4,4,3,2,4,3,1,4,1,2,5,2,5,3,2,2,5,5,1,5,4,5,1,3,5,4,2,5,4,1,1,2,1,1,3,4,2,1,1,1,5,1,5,4,1,1,3,5,3,4,1,5,4,3,1,1,3,2,4,1,3,5,1,1,1,3,4,4,2,4,3,5,3,1,3,5,1,5
1064,2,1,2,2,1,1,2,1,2,2,1,2,3,4,4,3,3,4,3,4,4,4,4,3,4,2,2,3,4,4,3,4,4,3,4,4,4,4,4,2,4,3,2,3,4,4,4,2,5,3,4,1,4,3,3,2,3,4,2,3,4,5,2,2,NA,4,4,4,4,3,4,3,2,4,2,4,4,2,3,4,4,2,4,2,3,4,2,2,1,3,2,4,2,4,4,2,3,2,3,3,2,4,4,4,3,4,3,4,3,3,3
1107,1,1,1,2,1,2,1,1,2,1,1,3,2,4,4,4,1,4,3,4,4,2,4,4,4,2,4,4,4,4,3,4,3,2,4,4,1,5,3,2,5,2,4,2,5,4,5,4,4,4,4,4,4,4,4,3,2,2,3,2,3,2,4,4,3,5,5,4,2,4,4,1,3,4,3,1,1,3,4,4,2,4,4,4,3,4,4,2,3,5,4,1,2,4,4,1,1,4,4,3,4,3,3,4,4,4,2,5,3,2,1
1057,1,2,1,2,2,2,1,2,2,2,1,1,1,4,3,4,2,4,2,4,5,4,5,2,1,2,3,2,3,4,4,4,5,1,4,4,2,4,4,4,5,4,2,3,1,4,4,1,4,4,5,2,5,4,4,1,3,4,2,2,2,5,2,2,1,4,3,3,4,5,1,4,1,4,1,3,4,2,4,5,5,2,5,1,5,4,3,1,2,2,2,4,1,4,5,3,2,2,4,3,2,2,5,2,5,4,2,4,4,2,5
1014,1,2,1,2,2,2,1,2,2,2,2,4,2,4,2,4,3,4,2,4,5,4,5,2,4,2,2,3,5,5,5,4,4,2,4,5,4,5,5,2,5,2,1,4,4,5,4,2,5,4,5,4,5,4,2,1,2,4,2,2,4,5,2,2,3,2,4,4,5,4,1,2,2,4,1,4,2,2,2,4,4,2,4,2,5,4,2,1,2,3,1,4,1,2,4,2,4,1,4,3,1,3,4,2,5,4,4,4,5,2,5
1056,2,1,2,1,1,1,2,1,2,1,1,1,2,4,5,3,1,4,2,4,4,3,5,1,2,2,1,2,5,5,4,4,4,3,3,4,4,2,4,2,5,2,2,2,3,4,3,1,5,5,5,2,5,4,5,2,2,3,2,2,2,5,2,4,2,2,2,2,4,4,4,2,2,4,1,4,4,2,2,4,5,5,4,3,5,4,2,2,2,2,2,4,1,2,5,4,4,3,4,4,2,2,4,4,5,4,3,2,4,1,4
1166,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,5,4,4,4,2,5,5,5,5,3,2,2,3,3,4,5,3,3,4,4,3,4,5,2,4,5,4,2,4,3,5,2,2,1,2,5,3,5,2,4,1,5,2,2,4,2,5,2,3,2,2,2,4,5,2,2,4,4,2,1,4,5,3,4,2,5,1,4,2,5,4,2,1,4,4,1,5,1,5,4,2,4,1,4,2,1,4,5,5,4,2,4,3,3,2,5
1094,2,1,2,1,2,2,2,1,2,1,1,3,2,5,4,3,3,3,1,4,5,5,5,4,3,2,2,2,3,5,5,3,5,4,4,3,3,5,5,3,5,4,1,4,4,4,4,2,5,2,4,1,5,4,5,2,4,4,1,3,2,5,2,3,1,4,3,5,4,3,2,3,3,5,1,3,4,1,2,3,5,2,4,3,5,5,3,1,4,3,3,3,1,4,5,5,3,2,3,4,2,4,5,3,5,4,4,3,3,2,5
1054,2,2,1,1,1,2,1,1,2,1,1,1,3,4,1,4,4,4,2,4,4,4,1,5,4,4,1,4,3,4,3,4,4,3,3,4,4,4,4,1,3,3,2,4,3,5,5,2,5,2,4,1,4,5,1,4,4,3,3,4,3,2,3,4,1,3,2,3,5,5,3,4,2,2,4,4,4,5,5,2,5,3,2,2,3,4,3,3,2,5,3,3,2,3,3,4,2,2,4,4,3,3,3,2,1,3,4,4,4,1,4
1009,2,2,1,1,1,1,1,2,1,2,1,2,5,4,4,5,3,5,1,3,4,5,5,1,5,2,3,3,5,3,4,2,4,3,2,3,4,5,5,3,5,4,3,1,5,3,2,1,5,5,5,2,5,4,4,5,4,5,1,3,3,5,3,1,3,4,4,2,5,4,2,4,2,2,3,3,4,1,2,3,5,2,2,3,4,3,2,1,1,4,2,4,2,4,2,4,2,4,3,2,4,3,2,4,4,5,3,2,5,3,5
1174,2,1,1,2,2,2,1,1,1,1,2,4,2,3,3,2,1,3,2,3,2,5,3,2,3,2,1,3,3,2,3,2,3,5,2,2,2,5,2,2,3,3,2,3,4,4,NA,2,2,1,3,2,3,2,2,3,2,2,3,3,5,1,2,3,3,3,3,3,1,4,3,4,3,4,3,3,2,3,2,2,3,2,3,4,3,3,4,1,3,NA,3,3,2,3,2,3,4,4,3,3,3,1,NA,3,3,3,3,2,2,2,2
1119,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,4,5,2,4,1,4,5,4,4,5,5,2,2,3,2,4,2,5,4,4,3,5,5,1,5,2,2,2,4,4,5,1,4,2,2,4,5,2,2,1,5,5,5,2,4,2,4,4,4,3,5,2,2,2,1,2,4,2,2,5,1,4,4,1,5,4,1,1,1,2,4,1,4,1,4,1,5,2,4,3,4,5,4,3,2,5,4,1,4,2,1,4,1,3,5,4
1010,1,2,1,2,2,1,1,2,1,2,1,3,1,5,5,5,1,3,5,5,4,4,5,5,2,1,2,3,4,3,4,4,5,1,2,4,3,3,2,1,4,3,1,3,2,4,3,2,3,4,4,3,5,5,3,1,4,1,3,1,2,4,2,2,1,2,3,2,1,5,2,2,3,4,1,1,4,4,5,5,3,4,5,4,5,4,3,3,3,3,2,1,2,2,4,4,3,4,3,5,4,3,5,4,5,5,4,1,2,1,5
1117,1,2,1,1,2,2,2,2,1,2,1,2,2,2,4,4,2,3,4,4,4,4,5,4,1,3,4,2,3,4,4,4,4,4,2,4,2,2,4,2,3,4,2,4,4,1,4,2,4,4,4,2,4,1,4,4,3,2,4,3,2,4,2,2,1,3,3,2,3,3,3,4,1,2,1,4,3,2,4,4,3,4,4,2,4,3,4,2,3,1,3,4,2,4,4,4,2,2,2,4,2,2,4,4,4,3,2,3,4,4,4
1154,1,2,1,2,2,2,1,2,2,2,2,3,2,4,3,4,2,4,2,2,4,3,4,2,3,3,4,2,4,2,2,4,5,4,2,4,2,5,4,2,3,3,2,2,3,4,4,2,4,4,3,4,4,5,4,3,3,4,3,4,5,4,2,3,2,4,4,4,4,3,4,2,2,2,2,2,2,2,3,4,4,3,4,1,4,4,2,2,2,5,2,5,2,5,4,2,3,2,4,3,2,4,4,4,4,3,2,3,4,4,4
1123,1,1,2,1,2,1,2,1,2,1,2,2,2,4,2,4,3,5,3,4,4,2,4,3,2,2,2,1,4,3,4,4,4,4,3,4,3,4,4,3,4,2,4,2,2,4,4,1,4,4,5,4,4,4,2,3,4,4,4,4,2,4,2,2,2,4,4,4,4,3,4,2,2,3,2,4,4,1,4,4,4,2,4,2,5,4,3,2,2,3,4,4,1,3,4,4,4,2,2,2,3,4,5,4,4,4,4,2,3,4,4
1112,2,1,2,2,2,2,1,1,2,2,1,2,2,4,3,3,1,3,2,4,5,3,5,2,2,4,2,2,4,3,3,4,4,3,3,2,3,4,3,2,3,2,2,3,3,3,4,2,4,3,3,3,4,5,4,4,4,4,1,3,2,4,2,2,2,4,3,4,5,4,3,2,2,2,2,4,4,3,1,3,3,1,5,1,4,3,3,2,2,2,2,4,1,4,3,4,3,3,4,3,2,3,4,4,5,4,4,1,5,2,4
1093,2,1,2,1,2,1,2,1,1,1,2,4,1,5,2,3,2,4,2,4,5,5,5,4,4,3,2,2,5,2,4,2,5,2,3,5,3,3,4,1,5,2,1,2,3,5,5,2,4,5,3,1,5,5,3,2,2,3,2,2,4,5,2,2,3,1,4,2,5,4,4,4,2,4,4,4,3,1,4,4,5,2,5,2,3,3,2,2,2,2,3,4,2,2,2,4,3,3,5,4,4,3,5,3,2,5,3,3,5,2,5
1051,1,2,1,2,2,1,2,1,1,1,1,4,3,4,2,4,2,4,2,3,3,3,3,3,4,3,4,2,4,3,3,4,4,3,4,4,2,4,4,4,4,2,3,2,3,4,4,2,4,2,3,4,3,4,2,2,2,4,3,3,3,4,3,2,4,3,4,2,4,3,4,2,3,4,3,4,2,2,2,2,4,4,4,3,4,4,4,1,2,4,2,3,3,3,4,4,2,2,4,3,2,4,4,3,4,4,2,2,4,3,3
1172,1,1,1,1,2,1,2,2,1,1,1,2,2,4,4,3,2,4,2,4,4,3,4,2,3,2,4,2,4,4,4,4,4,2,2,4,2,4,4,2,4,2,2,2,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,2,2,4,2,2,2,2,4,4,4,4,4,2,2,4,2,4,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,3,2,2,4,4,2,2,4,3,4,2,4,2,5,4,2,3,4,3,4
1062,1,2,1,1,2,1,1,2,1,2,1,4,4,4,3,4,1,4,2,4,4,1,4,4,2,2,5,3,3,3,3,4,3,3,3,5,1,4,4,3,2,1,4,2,4,4,5,3,4,2,2,4,5,5,3,3,2,3,4,3,5,2,3,1,3,3,5,5,3,4,2,1,3,4,2,3,2,1,5,3,2,5,2,4,4,3,5,1,3,4,4,1,4,3,3,3,1,2,4,3,4,2,4,1,2,5,1,4,3,3,3
1124,1,2,1,2,2,2,1,2,1,2,2,1,2,4,1,3,3,5,2,2,3,4,4,5,2,3,1,4,5,5,4,2,4,4,3,3,4,4,4,4,4,3,2,4,1,2,2,2,5,3,4,1,5,4,3,3,4,4,2,4,1,4,2,4,4,4,1,2,4,1,2,4,1,2,3,4,5,1,1,3,5,2,4,2,4,3,1,1,2,4,1,4,1,4,3,2,5,1,5,2,2,4,4,4,2,2,5,3,2,2,3
1100,2,1,1,1,2,2,1,2,2,2,2,3,2,4,2,4,2,4,4,4,4,4,2,4,2,2,2,3,4,3,4,4,4,4,2,4,2,4,2,3,5,3,2,2,4,4,4,3,4,2,4,4,4,4,2,1,2,2,2,4,2,5,2,2,2,1,2,2,4,4,2,1,2,4,2,4,2,2,3,4,4,2,4,2,2,2,2,1,3,4,2,2,2,4,4,4,2,2,4,2,2,2,4,4,4,4,2,4,5,3,4
1016,1,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,3,5,2,5,4,4,5,2,1,2,4,2,4,5,3,3,4,4,4,4,4,2,4,2,4,2,4,2,5,4,1,2,2,4,2,4,3,2,2,2,4,5,2,2,2,2,2,2,2,4,2,1,4,2,1,3,2,2,5,3,2,5,2,4,5,4,2,2,1,2,1,4,4,1,4,2,5,3,5,4,1,3,2,1,2,3,2,4,4,2,4,1,2,5
1098,1,2,1,2,2,2,1,2,2,2,1,4,2,4,4,5,1,3,2,4,2,3,4,2,3,2,5,1,4,4,4,5,4,3,2,4,1,4,3,2,4,1,2,2,4,5,4,2,3,3,1,5,4,3,2,2,1,4,2,2,4,3,2,2,4,1,5,4,5,4,2,2,3,4,2,3,1,1,2,4,4,5,3,4,3,4,5,1,3,2,4,3,2,2,4,4,1,2,3,3,3,2,4,5,5,4,1,3,4,3,3
1167,1,1,1,1,2,1,1,1,1,1,1,3,2,4,2,4,2,4,3,2,4,2,4,2,4,4,4,2,4,3,5,4,4,2,3,4,2,4,4,3,4,2,2,2,5,4,4,2,4,3,4,3,4,3,2,2,2,4,2,5,1,3,2,3,3,4,3,2,4,3,4,3,2,3,3,4,2,2,4,4,4,2,4,4,4,4,3,2,2,3,4,4,2,3,4,2,2,2,4,3,5,3,5,3,4,4,3,4,4,4,2
1007,1,2,1,2,2,2,1,2,2,2,2,1,2,2,3,3,2,1,5,3,5,5,5,4,4,1,1,4,3,3,5,3,2,3,4,4,3,4,2,2,5,4,3,5,2,5,2,2,3,3,4,1,5,2,4,1,4,4,5,4,1,5,3,2,2,3,3,4,4,4,2,3,1,1,2,4,4,3,4,4,4,1,5,1,2,2,3,1,4,2,1,5,1,4,2,5,3,3,1,4,1,5,5,4,4,2,3,2,4,5,2
1158,1,2,1,1,2,2,1,2,2,2,1,3,3,3,3,3,4,4,4,3,3,4,3,4,2,2,1,2,4,4,4,4,4,4,2,4,4,4,3,3,4,4,2,4,1,3,3,2,3,2,4,4,4,3,4,5,5,3,2,3,5,4,2,3,3,4,3,3,4,3,4,4,2,4,2,4,4,2,2,4,4,3,4,3,4,4,2,3,2,2,1,4,2,3,4,3,5,2,4,3,2,4,3,5,5,4,4,3,4,1,3
1159,1,2,1,1,2,1,1,2,2,1,1,2,2,4,2,4,2,2,4,4,5,4,4,4,2,1,2,4,4,4,5,4,4,4,2,2,2,4,3,1,4,4,2,4,4,2,4,2,4,4,4,2,4,4,2,1,4,2,4,4,1,4,2,4,2,2,4,2,5,4,2,4,2,4,2,5,4,1,4,4,4,4,5,3,4,2,4,1,4,4,2,4,2,2,4,4,4,2,4,5,2,2,4,4,4,4,2,3,4,2,4
1141,2,1,1,2,2,2,1,2,2,2,1,3,2,5,4,5,2,5,2,5,5,4,5,3,1,1,5,4,5,4,5,4,5,3,5,5,1,4,3,1,5,1,1,4,4,5,4,1,4,4,5,2,5,5,4,1,2,4,3,1,4,4,1,1,2,2,4,5,4,5,4,1,2,5,1,2,2,1,4,4,4,4,5,4,4,5,5,1,2,4,3,4,1,3,4,2,2,5,5,4,3,5,5,3,3,4,1,2,4,2,5
1121,2,1,2,2,2,2,1,2,1,1,1,4,2,2,3,1,1,3,5,3,5,4,5,3,5,3,1,1,3,1,5,3,4,5,3,1,4,4,5,1,3,5,4,3,1,1,3,1,1,1,5,1,4,1,4,1,3,5,3,3,5,5,5,3,2,2,3,1,5,4,5,1,1,1,3,1,2,1,2,1,1,1,1,1,3,3,3,1,1,5,4,4,3,5,2,4,5,1,4,4,5,3,5,NA,3,3,1,2,3,4,3
1191,2,1,1,1,1,1,2,2,1,1,1,3,1,4,3,3,1,3,5,1,5,5,5,3,5,3,1,1,5,5,5,3,5,1,4,3,3,3,4,1,5,1,2,3,5,3,3,1,3,4,5,1,5,3,4,3,2,1,2,3,1,5,1,1,5,1,2,1,4,2,5,3,1,5,3,4,3,3,2,3,4,1,5,5,3,4,1,1,1,2,5,5,1,3,5,3,2,1,3,5,5,5,5,3,5,4,2,2,3,4,5
1043,1,2,1,2,1,2,1,1,2,1,1,3,2,4,4,4,3,2,3,3,4,4,4,2,3,4,2,1,2,3,4,3,3,3,4,2,5,5,2,3,5,3,4,2,4,4,2,2,3,3,4,2,4,2,2,2,4,4,5,2,2,5,2,4,3,5,3,2,4,3,4,4,3,3,3,3,5,2,3,4,5,5,4,3,5,3,1,3,2,4,3,2,1,3,4,2,4,3,4,4,4,4,4,5,4,3,4,4,4,4,4
1061,2,2,1,1,2,1,2,1,1,1,2,2,2,5,4,4,2,4,4,4,4,5,4,5,3,2,4,1,4,2,2,4,4,2,2,4,2,4,3,5,4,2,4,2,4,4,4,2,4,2,4,4,4,4,5,4,2,4,1,3,1,2,4,3,2,3,4,3,2,4,2,4,2,2,2,2,2,2,2,4,4,2,4,4,4,4,4,2,2,2,4,4,2,4,4,4,1,1,4,3,5,1,3,3,4,4,2,4,4,4,4
